"y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007"
"29392.85","30125.1","31396.76","32353.47","33898.93","34460.48","35068.92","35752.9"
"30451.79","31075.53","32344.51","33678.8","35310.66","36520.62","37503.34","38911.69"
"37377.81","37038.48","39078.48","39715.42","41092.08","41516.23","43358.02","45453.01"
"34082.76","35469.03","37321.26","37634.84","38768.35","39970.02","41258.66","42713.32"
"23916.28","24758.94","25295.64","25724.4","26595.33","27908.5","28741.25","29719.33"
"29970.74","30554.81","30730.87","31611.89","32893.1","34367.03","35390.19","36332.35"
"24548.16","25755.51","26212.23","26689.85","28484.91","30830.17","32634.67","34129.8"
"22261.19","24400.92","25857.61","27474.64","29120.48","30763.82","33322.08","37034.02"
"35606.85","37044.77","37758.9","37098.46","39991.87","41194.59","42192.65","43273.9"
"21127.99","22133.67","23371.38","23451.68","24319.52","25519.49","44315.09","47672.06"
"32073.26","33454.02","34096.01","34060.0","35189.0","37096.25","26798.73","26814.37"
"39576.42","41404.19","43437.82","42949.28","43580.21","46050.23","39418.04","41226.3"
"22018.14","22429.39","22775.13","23335.44","24032.78","25292.0","47438.23","50507.86"
"36225.01","37827.14","38349.87","40111.96","41471.11","43576.55","26370.62","27642.19"
"34273.98","36078.96","36698.99","37736.26","39170.19","41692.61","45416.34","47158.15"
"44522.61","45866.16","46890.95","48090.14","50226.59","53057.86","42984.74","44539.27"
"33335.36","35553.32","35914.15","37518.43","38195.67","38670.61","54017.85","56321.53"
"26367.23","27377.59","28087.19","29149.34","30824.3","32352.43","41804.05","44681.41"
"28755.94","29361.38","30303.44","31086.46","32349.91","33518.81","33494.43","35313.78"
"23522.7","25640.39","28799.79","30602.38","33011.46","33535.09","35282.3","37000.11"
"18698.95","21503.14","24108.04","24490.8","26000.34","27712.28","35364.97","38376.33"
"35043.91","37428.71","39963.6","42058.93","45124.89","48529.47","29790.7","30841.72"
"34744.49","36761.58","36295.31","36668.92","36691.33","37562.23","51124.55","55481.23"
"16289.8","17633.86","17359.44","17461.49","17803.54","18032.23","38986.56","40806.67"
"33011.85","35296.48","35301.03","35361.54","37065.0","37672.78","18585.96","19191.31"
"29985.34","31155.66","30807.84","30991.29","31283.23","31815.86","38282.95","39528.5"
"29454.33","30079.49","31618.0","32422.1","34437.84","36716.7","33139.52","34293.72"
"23052.52","23175.09","24004.38","24961.05","26089.98","27455.46","39010.1","27462.03"
"26405.32","26265.29","27137.16","27840.56","29275.85","30596.34","28793.57","15786.9"
"31258.22","31450.05","32128.89","33244.82","34715.07","36388.85","32404.61","24244.07"
"17181.05","18506.08","19799.24","20337.84","22033.9","23048.4","38121.17","46637.07"
"11023.85","11321.97","12036.68","12196.4","12933.51","13517.68","24907.29","42751.05"
"17061.06","17909.32","19366.27","19499.46","20330.52","21141.62","14736.06","74324.08"
"12159.38","12406.17","12416.72","12446.09","12876.25","13591.56","22887.29","18564.02"
"13795.89","13786.29","14528.22","14681.01","14776.26","15736.6","14053.32","33983.06"
"16695.86","16517.46","17286.53","17990.63","18965.37","20221.52","16402.7","31360.02"
"11745.68","11746.36","11578.08","11896.68","11830.22","12809.24","21134.65","40937.53"
"35737.33","37219.01","39123.6","38489.75","40436.53","42481.5","13396.81","37070.66"
"31149.27","32628.26","33732.9","33726.78","35503.03","38187.83","44384.23","29215.38"
"22807.3","22485.69","23499.11","24524.38","58464.98","65916.34","39971.61","49300.93"
"52281.79","52567.18","52514.03","52327.45","14465.26","15385.01","71659.6","31421.36"
"11813.43","11708.58","12797.3","13238.22","25537.51","28366.01","16930.75","30990.64"
"20865.53","22192.58","23524.34","24503.05","27050.16","29125.1","30573.08","50594.71"
"24274.64","25121.67","26029.18","26464.49","34038.18","35747.03","30251.23","31532.21"
"28988.26","30513.63","32098.06","32630.64","30664.43","32417.22","38688.71","50743.93"
"25774.27","27263.85","28696.07","29393.36","24328.22","25191.69","34862.4","48252.2"
"20542.76","21822.95","23149.0","23441.67","44102.21","44947.21","27265.07","64258.45"
"38547.49","38116.44","39729.89","40846.15","29331.85","29982.78","46587.38","54027.66"
"9215.11","7808.03","27789.08","28412.81","29301.55","30118.8","30071.11","49045.7"
"10565.22","9649.1","27355.84","28120.18","45032.77","46652.45","31016.71","58810.37"
"9604.15","9171.79","40506.04","42134.18","29566.96","29969.13","48925.16","58752.97"
"25179.12","26889.04","26453.36","27276.35","47604.48","49124.6","30915.85","45043.94"
"25177.93","26578.78","45648.22","45896.28","42404.93","44414.86","49882.79","67072.68"
"37240.74","38598.63","38701.37","39801.05","56190.55","58121.4","46382.33","47581.76"
"24787.92","25866.34","52008.84","53478.91","47305.27","49028.96","61248.78","58279.21"
"24926.12","45744.48","43762.8","45167.85","44846.82","46316.08","51948.35","55132.35"
"26882.59","37188.74","40049.48","42000.89","51705.08","54279.21","47510.46","64017.05"
"24102.69","51911.3","48352.46","48971.76","52511.25","55691.95","56778.74","54514.22"
"12747.03","43108.94","49809.99","50574.97","43208.44","44375.46","57696.64","44682.73"
,"39141.01","42202.45","43089.14","54103.27","58931.98","44266.06","46874.16"
,"47629.5","46962.84","49697.51","39413.33","42957.41","63144.1","50673.95"
,"49080.15","35552.11","37129.56","53207.57","55017.09","46005.64","54481.43"
,"40904.78","48391.2","50182.68","46709.69","49880.44","56344.01","72062.02"
,"47494.34","41507.87","43352.93","52971.52","56140.95","53317.77","63604.81"
,"34921.3","48846.09","50395.47","48110.42","50499.6","60246.47","43506.77"
,"47198.33","44042.83","46186.21","39504.11","42077.05","52709.0","40846.16"
,"40437.78","37389.94","38412.98","40228.34","42160.27","44429.72","71453.73"
,"48568.83","36955.17","38345.67","43539.58","44976.78","44657.97","32156.7"
,"42259.37","39492.88","40096.36","47222.58","50219.09","49165.71","32827.82"
,"36977.14","41418.57","43336.54","60751.46","65423.3","52747.3","27641.0"
,"35617.48","55142.04","56767.13","54058.49","57354.39","69060.05","44751.82"
,"39067.34","50620.22","51999.75","40260.18","41514.09","59868.19","44488.53"
,"39215.67","37535.78","38870.76","36144.39","38239.53","42208.6","50183.84"
,"55115.67","32951.29","34334.74","62270.72","66174.09","40288.1","48481.58"
,"50315.41","55453.2","58216.11","28394.47","30123.34","68976.29","38687.18"
,"35913.56","27071.18","26965.81","30308.74","32183.87","31379.82",
,"31664.22","27774.39","28845.47","26147.29","27518.55","34266.2",
,"53676.33","24651.71","25092.91","18541.14","22527.38","28919.57",
,"26461.99","15143.23","16487.53","25000.8","26528.13","26136.64",
,"26880.67","22360.38","23267.37","41533.56","43133.59","27626.28",
,"24159.75","38759.43","39797.1","39342.98","42151.88","43679.99",
,"13746.5","35037.15","37220.16","43239.11","46463.85","43928.71",
,"21855.87","38800.65","40924.35","44606.48","45948.85","48918.65",
,"37318.24","41990.69","42766.87","33441.13","35551.51","47012.17",
,"33172.36","30722.46","31977.03",,,"37321.5",
,"37375.47",,,,,,
,"40990.33",,,,,,
,"30005.8",,,,,,
